Book,Author,Status
Strategy Is Destiny: How Strategy-Making Shapes a Company's Future (English Edition),"Robert A. Burgelman  (Autor),",Read
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel  (Autor),Read
The Laws of Human Nature (English Edition),Robert Greene (Autor) ,Read
"Leadership Strategy and Tactics: Learn to Lead Like a Navy SEAL, from the Bestselling Author of 'Extreme Ownership' and 'The Dichotomy of Leadership' (English Edition)",Jocko Willink (Autor) ,Read
The Formula: The Universal Laws of Success,Albert-Laszlo Barabasi,Read
The Bed of Procrustes: Philosophical and Practical Aphorisms (Incerto Book 4),Nassim Nicholas Taleb  (Autor),Read
Love and Math: The Heart of Hidden Reality, Edward Frenkel  (Autor),Read
"Pragmatic Programmer, The: Your journey to mastery, 20th Anniversary Edition (English Edition) ","por David Thomas (Autor), Andrew Hunt (Autor) ",Read
Elon Musk (English Edition),Walter Isaacson (Autor) ,Read
Invention and Innovation: A Brief History of Hype and Failure (English Edition),Vaclav Smil,Read
