Book,Author,Status,Recommended
Seneca's Letters from a Stoic,Seneca,Ok,
Four Thousand weeks, Oliver Burkeman (Autor) ,OK,
A Perfect Mess: The Hidden Benefits of Disorder," Eric Abrahamson (Autor), David H. Freedman (Autor) ",Ok,Taleb
Coders at Work: Reflections on the Craft of Programming, Peter Seibel (Autor) ,OK,
A morte de Ivan Ilitch,"Boris Schnaiderman (Tradutor), Lev Tolst�i (Autor)",OK,
"The Comfort Crisis: Embrace Discomfort To Reclaim Your Wild, Happy, Healthy Self", Michael Easter (Autor),OK,
On the Shortness of Life (Penguin Great Ideas) (English Edition),Seneca (Autor),OK,
Ham on Rye,Charles Bukowski,Ok,
Crime and Punishment,Fyodor Dostoyevsky,OK,
The Dawn of Everything: A New History of Humanity,David Graeber,OK,
Frankenstein ,Mary Shelley ,OK,
